time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,SER,Transactions,Velocity
2020-06-18,147.14842489772064,1994.0,2127.0,761.0,1196.0,1.7763829e-05,5466.0,1.812919004687
2020-06-19,225.1804544126242,2396.0,2837.0,1094.0,1732.0,2.4408341e-05,6640.0,1.843339706363
2020-06-20,253.3212083576856,2189.0,3475.0,1294.0,2107.0,3.1242768e-05,5813.0,1.846561676397
2020-06-21,331.26190531852706,3252.0,4309.0,1666.0,2632.0,3.8912634e-05,9205.0,1.851604722221
2020-06-22,274.7974473991818,3283.0,4900.0,1726.0,2815.0,4.3318816e-05,7298.0,1.906146719297
2020-06-23,241.58748581560323,3034.0,5639.0,1946.0,3165.0,4.8225345e-05,6168.0,1.924193207954
2020-06-24,211.7896926828508,2764.0,5671.0,1516.0,2841.0,5.1922618e-05,5272.0,1.957732943528
2020-06-25,230.21671098312288,2858.0,6176.0,1655.0,3112.0,5.5659944e-05,6167.0,1.980078759577
2020-06-26,263.2757825662636,2963.0,6891.0,1818.0,3369.0,6.1498154e-05,5460.0,2.004644574763
2020-06-27,232.3082774963847,3046.0,7643.0,1792.0,3465.0,6.5883433e-05,5418.0,2.017612175462
2020-06-28,240.78893308908053,2235.0,8096.0,1796.0,3548.0,6.6657689e-05,3834.0,2.01998017648
2020-06-29,233.22737637400317,1974.0,8530.0,1841.0,3662.0,7.0096895e-05,3256.0,2.031696709897
2020-06-30,216.0827376400709,1999.0,8968.0,1827.0,3687.0,7.3423705e-05,3244.0,2.035781116142
2020-07-01,202.3567510603215,2053.0,9420.0,1835.0,3763.0,7.7013172e-05,3207.0,2.047646205729
2020-07-02,179.83543978267733,2510.0,9940.0,1792.0,3788.0,7.9545785e-05,4922.0,2.052910852615
2020-07-03,172.93634649577712,2755.0,10506.0,1798.0,3918.0,8.3254208e-05,5317.0,2.056418492571
2020-07-04,181.16292481673867,2039.0,10921.0,1874.0,4053.0,8.5477905e-05,3735.0,2.05886455683
2020-07-05,199.7723322672036,2208.0,11342.0,2001.0,4348.0,8.8524273e-05,4392.0,2.06300675895
2020-07-06,195.74142173686548,2103.0,11852.0,2033.0,4461.0,9.2622928e-05,3726.0,2.073583003625
2020-07-07,187.450377296912,1900.0,12259.0,2024.0,4506.0,9.5502696e-05,3227.0,2.07664301283
2020-07-08,184.83284525564844,1969.0,12687.0,2086.0,4629.0,9.9550393e-05,3270.0,2.081338089518
2020-07-09,180.02462575628743,1628.0,12985.0,2078.0,4660.0,0.000101849494,2780.0,2.083174309973
2020-07-10,175.05886502236137,1405.0,13204.0,2062.0,4683.0,0.000104096866,2550.0,2.084846835941
2020-07-11,177.85724096619546,1430.0,13492.0,2121.0,4788.0,0.000106179213,2632.0,2.087017294644
2020-07-12,175.88769038948232,1491.0,13774.0,2133.0,4837.0,0.000107687234,2327.0,2.088944082208
2020-07-13,165.76867236042688,1613.0,14088.0,2102.0,4813.0,0.000109346518,2464.0,2.091010625464
2020-07-14,164.522430354335,1542.0,14404.0,2139.0,4865.0,0.00011113609,2476.0,2.09358738908
2020-07-15,160.69627258764154,1564.0,14701.0,2163.0,4920.0,0.000113244879,2545.0,2.096250595166
2020-07-16,154.84573218999128,1530.0,15041.0,2192.0,4980.0,0.00011551849,2433.0,2.097969922555
2020-07-17,168.69656886631356,1677.0,15389.0,2329.0,5207.0,0.000117329818,3068.0,2.104259667159
2020-07-18,163.89008775923216,1453.0,15650.0,2313.0,5208.0,0.000120216042,3094.0,2.105926823744
2020-07-19,163.21255114693153,1563.0,15937.0,2351.0,5305.0,0.000123203138,3250.0,2.108296759374
2020-07-20,158.49011601765554,1533.0,16195.0,2387.0,5363.0,0.00012542269,3007.0,2.111074612619
2020-07-21,159.63359245559812,1337.0,16425.0,2394.0,5450.0,0.000127653369,2217.0,2.112569205117
2020-07-22,157.75310511213783,1396.0,16701.0,2420.0,5482.0,0.000129787597,2691.0,2.115405068148
2020-07-23,157.4121232619001,1528.0,17001.0,2465.0,5596.0,0.000133272318,2662.0,2.121770590907
2020-07-24,155.29756900761626,1505.0,17379.0,2540.0,5793.0,0.000137829205,2511.0,2.123175787568
2020-07-25,156.0656654254054,1736.0,17877.0,2683.0,6119.0,0.000145363765,3014.0,2.124997050528
2020-07-26,157.91494806277814,1690.0,18237.0,2735.0,6251.0,0.000148600564,3165.0,2.127253455031
2020-07-27,136.8856980371317,1823.0,18568.0,2632.0,6150.0,0.000151042263,3663.0,2.131948272919
2020-07-28,136.7584485713908,1865.0,18964.0,2660.0,6232.0,0.000154287203,3120.0,2.139192837353
2020-07-29,133.0550438294704,1728.0,19369.0,2685.0,6285.0,0.000156795728,3091.0,2.145482873812
2020-07-30,133.34955907473534,1393.0,19646.0,2727.0,6377.0,0.000159334376,2486.0,2.148614662261
