time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,SER,Transactions,Velocity
2019-11-20,1.00271909435395,1140.0,1982.0,530.0,1093.0,1.5704202e-05,2299.0,14.12349205263279
2019-11-21,1.00237901605078,1309.0,2455.0,668.0,1348.0,2.6648691e-05,4069.0,17.59075176790312
2019-11-22,1.00324994679468,1525.0,2987.0,807.0,1619.0,2.8919703e-05,7876.0,25.75100531038372
2019-11-23,1.0034664436368,1029.0,3279.0,845.0,1720.0,3.3849112e-05,4585.0,32.468361960468606
2019-11-24,1.00174625356266,927.0,3556.0,911.0,1849.0,3.9217868e-05,4673.0,38.44199096081806
2019-11-25,1.00179817031774,1238.0,3918.0,1013.0,2044.0,4.2276374e-05,6995.0,42.92524863621519
2019-11-26,1.00327343498947,998.0,4177.0,1111.0,2185.0,4.6664898e-05,4053.0,48.48203792696534
2019-11-27,1.00309712235197,1004.0,4393.0,1160.0,2296.0,4.8341569e-05,4419.0,56.17100440263257
2019-11-28,1.00210968642946,1066.0,4587.0,1165.0,2362.0,4.6673283e-05,3612.0,53.39036609561467
2019-11-29,1.00096396100545,927.0,4793.0,1218.0,2460.0,4.6905742e-05,3324.0,53.4531077059098
2019-11-30,1.00196933636691,794.0,4950.0,1264.0,2553.0,5.4698728e-05,3313.0,55.08004719555299
2019-12-01,1.00131002485646,878.0,5113.0,1317.0,2634.0,5.4673023e-05,3835.0,53.70853012688397
2019-12-02,0.99980760618556,1371.0,5374.0,1326.0,2665.0,4.9031125e-05,4823.0,33.37862579052207
2019-12-03,0.998032690070434,1823.0,5711.0,1381.0,2816.0,5.2385663e-05,3872.0,30.12532225504333
2019-12-04,0.997842279887579,1671.0,6098.0,1491.0,2997.0,5.6071895e-05,4650.0,31.629090630957183
2019-12-05,0.999461038324601,1643.0,6385.0,1502.0,3060.0,6.0888621e-05,2765.0,32.95707098969356
2019-12-06,0.993923926398987,1513.0,6678.0,1543.0,3164.0,6.3367495e-05,2594.0,32.681449931686785
2019-12-07,0.99367273537663,1534.0,6963.0,1570.0,3214.0,6.7622384e-05,2311.0,33.45739763459407
2019-12-08,0.994296290160396,1460.0,7259.0,1625.0,3324.0,6.9593478e-05,2529.0,33.23137305150464
