time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,SER,Transactions,Velocity
2018-09-16,1.29485173471654,9.0,75.0,15.0,40.0,0.0,15.0,1.20127610509
2018-09-17,1.82229054782229,17.0,83.0,16.0,49.0,0.0,24.0,1.089532086159
2018-09-18,1.2500764735827,28.0,91.0,20.0,53.0,0.0,30.0,1.139038398731
2018-09-19,1.2500764735827,31.0,106.0,25.0,60.0,0.0,32.0,1.192413386692
2018-09-20,1.00891030272772,28.0,113.0,23.0,64.0,0.0,28.0,1.216799654792
2018-09-21,1.00050129148447,29.0,126.0,26.0,72.0,0.0,32.0,1.227021711694
2018-09-22,1.00673485235174,11.0,126.0,25.0,72.0,0.0,17.0,1.273494167032
2018-09-23,1.0052370416449,14.0,131.0,28.0,75.0,0.0,19.0,1.39920112627
2018-09-24,1.00057956920763,19.0,130.0,29.0,74.0,7.3202e-08,13.0,1.839646347786
2018-09-25,1.0107708361163,20.0,138.0,30.0,77.0,5e-08,20.0,1.386397720862
2018-09-26,1.01157423802276,19.0,141.0,31.0,80.0,1.14304e-07,17.0,0.497182214971
2018-09-27,1.00843205257839,21.0,145.0,32.0,84.0,7.2815e-08,17.0,0.343791662665
2018-09-28,1.00833898623025,32.0,153.0,34.0,87.0,2.12767e-07,44.0,1.625055122445
2018-09-29,1.00493141269049,25.0,163.0,37.0,90.0,2.12767e-07,22.0,1.791811710806
2018-09-30,1.0145185044395,13.0,168.0,38.0,92.0,2.51452e-07,14.0,1.796318933849
2018-10-01,0.994709279201095,18.0,168.0,30.0,85.0,2.85718e-07,25.0,4.901349777584
2018-10-02,0.996535400191891,16.0,171.0,30.0,87.0,4.49103e-07,23.0,5.301965548714
2018-10-03,0.99902898952186,11.0,170.0,29.0,86.0,4.64759e-07,22.0,17.418304972392
2018-10-04,1.006515973407,19.0,173.0,38.0,96.0,7.63492e-07,17.0,17.326649653059
2018-10-05,0.999263972652186,10.0,176.0,32.0,88.0,8.70715e-07,6.0,15.988228009447
2018-10-06,1.00996804313398,6.0,176.0,39.0,96.0,3.0634e-08,4.0,21.069882063563
2018-10-07,0.99842700782773,6.0,175.0,31.0,87.0,5.6035e-08,4.0,29.508805796627
2018-10-08,1.00447667755731,21.0,179.0,39.0,97.0,5.6054e-08,27.0,30.136404161671
2018-10-09,1.00636526056788,30.0,188.0,40.0,102.0,6.0136e-08,27.0,33.90690704663
2018-10-10,1.00348939144279,21.0,192.0,39.0,102.0,1.51511e-07,22.0,41.600823784734
2018-10-11,1.00192146273466,27.0,195.0,40.0,103.0,3.24303e-07,22.0,47.815529509091
2018-10-12,0.99928493777731,16.0,200.0,35.0,97.0,1.14762e-07,12.0,29.01618247456
2018-10-13,1.0064785558028,26.0,203.0,42.0,108.0,6.9471e-08,29.0,23.19502566642
2018-10-14,0.997082838159083,12.0,199.0,34.0,96.0,1.29473e-07,12.0,32.712025162918
2018-10-15,0.995976192996252,27.0,210.0,42.0,104.0,5.95142e-07,28.0,18.653994571174
2018-10-16,0.99938839546227,56.0,235.0,58.0,127.0,4.53289e-07,75.0,18.247580908558
2018-10-17,1.00434470903111,67.0,249.0,60.0,128.0,3.41501e-07,76.0,7.156736193282
2018-10-18,1.00060909504933,78.0,283.0,68.0,150.0,6.95805e-07,90.0,7.41180341372
2018-10-19,1.008011410986,87.0,311.0,77.0,161.0,8.94138e-07,118.0,6.48183930568
2018-10-20,1.01456603939793,52.0,323.0,79.0,164.0,9.29336e-07,41.0,4.819978608396
2018-10-21,1.01012178493713,22.0,331.0,81.0,170.0,1.050047e-06,18.0,4.880667314158
2018-10-22,1.00886850249123,47.0,339.0,84.0,177.0,8.20828e-07,60.0,5.014559335316
2018-10-23,1.01057753822526,56.0,356.0,96.0,191.0,1.425434e-06,78.0,4.797470124039
2018-10-24,0.999893294395599,55.0,369.0,89.0,183.0,5.185352e-06,59.0,4.009563289385
2018-10-25,0.995190818505916,50.0,376.0,87.0,185.0,5.2884e-06,57.0,3.715914923894
2018-10-26,0.993627724529497,55.0,391.0,94.0,196.0,5.347757e-06,58.0,3.859370621096
2018-10-27,1.00143143621495,21.0,396.0,104.0,214.0,5.211776e-06,20.0,3.908991952396
2018-10-28,1.01826722738625,21.0,399.0,105.0,220.0,5.17469e-06,17.0,3.929783042576
2018-10-29,1.01765896414462,50.0,408.0,110.0,223.0,4.429772e-06,63.0,4.023943906775
2018-10-30,1.00120961279655,52.0,411.0,108.0,221.0,4.508976e-06,71.0,4.606081921214
2018-10-31,1.01604140954774,62.0,419.0,112.0,227.0,4.943208e-06,99.0,6.179515178134
2018-11-01,1.01884625250727,187.0,544.0,124.0,350.0,4.843561e-06,223.0,5.625184109746
2018-11-02,0.989978791486721,395.0,841.0,111.0,629.0,4.484025e-06,476.0,7.064014990246
