time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,SER,Transactions,Velocity
2018-06-15,0.503442982957014,201.0,46012.0,41791.0,44509.0,8.2046442e-05,325.0,1.0858861816156975
2018-06-16,0.408686870324255,166.0,46032.0,41242.0,44454.0,8.2315868e-05,252.0,1.0875445559836645
2018-06-17,0.392350865422209,142.0,46063.0,10066.0,44450.0,8.2484399e-05,191.0,1.0880987916457496
2018-06-18,0.398681643915539,153.0,46087.0,10118.0,44471.0,8.2761694e-05,205.0,1.0892328326502827
2018-06-19,0.429552408539158,139.0,46105.0,41415.0,44526.0,8.2899115e-05,211.0,1.0904934878534875
2018-06-20,0.386314507359725,279.0,46070.0,10111.0,44439.0,8.3184083e-05,348.0,1.1126050237643403
2018-06-21,0.352258944443127,145.0,46096.0,10010.0,44433.0,8.3374136e-05,183.0,1.113180657618276
2018-06-22,0.326023611681159,183.0,46111.0,9815.0,44389.0,8.3412746e-05,248.0,1.1145771206041608
2018-06-23,0.323166763541789,194.0,46048.0,9729.0,44321.0,8.3331293e-05,225.0,1.1200728435148553
2018-06-24,0.292432124932788,139.0,46075.0,9578.0,44315.0,8.3481185e-05,182.0,1.1222777976080391
2018-06-25,0.251801784334328,146.0,46106.0,9296.0,44290.0,8.3961241e-05,171.0,1.125342638065601
2018-06-26,0.28711650790021,152.0,46134.0,9583.0,44361.0,8.3819547e-05,218.0,1.127300642419873
2018-06-27,0.275368333182533,164.0,46142.0,9524.0,44359.0,8.3809587e-05,218.0,1.1291529856551463
2018-06-28,0.272372948568089,137.0,46171.0,9522.0,44375.0,8.4090487e-05,172.0,1.1303366606016458
2018-06-29,0.255130704101888,146.0,46196.0,9403.0,44370.0,8.3917275e-05,172.0,1.131339243832206
2018-06-30,0.322282128930802,175.0,46237.0,9876.0,44489.0,8.4485498e-05,237.0,1.133485353163577
2018-07-01,0.331346442536528,150.0,46276.0,9951.0,44530.0,8.4751386e-05,182.0,1.1355473666080915
2018-07-02,0.356987326531581,136.0,46297.0,10172.0,44599.0,8.4898116e-05,133.0,1.1360740678998278
2018-07-03,0.38745892738195,161.0,46327.0,10319.0,44649.0,8.4678451e-05,168.0,1.1389964606987055
2018-07-04,0.369607434511981,148.0,46356.0,10268.0,44662.0,8.4801277e-05,143.0,1.1401204129562943
2018-07-05,0.36453151185377,158.0,46369.0,10258.0,44668.0,8.474334e-05,166.0,1.1422806440555802
2018-07-06,0.395907545751023,158.0,46391.0,10407.0,44706.0,8.5260337e-05,182.0,1.14615081997471
2018-07-07,0.339544429574465,230.0,46435.0,10182.0,44697.0,8.5572609e-05,299.0,1.1496064762846472
2018-07-08,0.413783955406195,225.0,46476.0,41529.0,44789.0,8.5469103e-05,244.0,1.1516085991987115
2018-07-09,0.377377250029223,185.0,46468.0,10376.0,44728.0,8.5541672e-05,203.0,1.1538674009635448
