time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,SER,Transactions,Velocity
2017-11-06,0.229253355824828,2.0,5.0,3.0,3.0,2.16e-09,2.0,0.074038465
2017-11-07,0.233647254704851,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-08,0.235832935005254,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-09,0.235832935005254,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-10,0.235832935005254,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-11,0.235832935005254,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-12,0.235832935005254,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-13,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-14,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-15,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-16,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-17,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-18,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-19,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-20,0.250837529411137,0.0,5.0,3.0,3.0,2.16e-09,0.0,0.074038465
2017-11-21,0.520549846884931,240.0,228.0,215.0,218.0,1.9241e-08,262.0,0.088841485
2017-11-22,0.470557031715535,206.0,403.0,358.0,367.0,2.87107e-07,224.0,0.122552870955
2017-11-23,0.462506680769053,758.0,1078.0,1002.0,1018.0,3.79958e-07,809.0,0.156156887641861
2017-11-24,0.619184315100892,743.0,1656.0,1546.0,1575.0,1.177573e-06,785.0,0.218750807459273
2017-11-25,0.727054129282383,624.0,1844.0,1723.0,1756.0,1.247269e-06,611.0,0.2305903156351769
2017-11-26,0.770570599038432,559.0,2038.0,1900.0,1935.0,1.453138e-06,573.0,0.237708066574287
2017-11-27,1.13302979172142,1193.0,2417.0,2249.0,2301.0,2.130776e-06,1425.0,0.284536898918201
2017-11-28,1.36636400935666,1030.0,2684.0,2497.0,2558.0,2.671828e-06,1224.0,0.305738080087076
2017-11-29,1.23982032917401,1035.0,2928.0,2707.0,2785.0,3.813635e-06,1183.0,0.319903510691255
2017-11-30,1.27014604243359,1622.0,3096.0,2804.0,2917.0,6.644347e-06,2283.0,0.587853086978156
2017-12-01,1.14600552932932,1519.0,3224.0,2866.0,3009.0,8.18544e-06,2317.0,0.619939455314182
2017-12-02,1.06596385278012,793.0,3476.0,3056.0,3238.0,1.0315432e-05,1225.0,0.632345293950047
2017-12-03,0.937948840601862,521.0,3559.0,3051.0,3281.0,1.1867467e-05,688.0,0.635630409344916
2017-12-04,0.930010811964216,863.0,3645.0,3095.0,3344.0,1.2408319e-05,1433.0,0.665829290031635
2017-12-05,0.973577264718034,416.0,3751.0,3191.0,3439.0,1.2817034e-05,507.0,0.669549863282929
2017-12-06,0.93508974473372,584.0,3969.0,3345.0,3625.0,1.3655749e-05,915.0,0.676986622829487
2017-12-07,0.803549849650227,536.0,4088.0,3408.0,3730.0,1.4053953e-05,750.0,0.7071287885850349
2017-12-08,0.808833643138052,583.0,4270.0,3558.0,3898.0,1.4687347e-05,749.0,0.725685060298355
2017-12-09,0.774282750584595,498.0,4322.0,3586.0,3941.0,1.5407075e-05,584.0,0.73370691454011
2017-12-10,0.69525356989575,346.0,4346.0,3561.0,3955.0,1.6504897e-05,353.0,0.738236460743526
2017-12-11,0.612442819583788,843.0,4250.0,3409.0,3830.0,1.6691146e-05,1048.0,0.755926684397394
2017-12-12,0.645352929644341,648.0,4398.0,3544.0,3972.0,1.7126048e-05,830.0,0.771453488114659
2017-12-13,0.714000675881141,620.0,4524.0,3683.0,4114.0,1.7525659e-05,784.0,0.785895525319414
2017-12-14,0.757678198342061,451.0,4581.0,3753.0,4173.0,1.7312676e-05,606.0,0.795478899021879
2017-12-15,0.70273790733215,375.0,4617.0,3772.0,4206.0,1.717031e-05,497.0,0.799323879603745
2017-12-16,1.21438212366516,560.0,4719.0,4051.0,4362.0,1.7940919e-05,770.0,0.808784678575988
2017-12-17,0.996222152247786,457.0,4843.0,4064.0,4429.0,1.82986e-05,564.0,0.812914231775977
2017-12-18,1.0834516812255,594.0,4959.0,4224.0,4570.0,1.9111017e-05,788.0,0.841861780557391
2017-12-19,0.970361238654961,621.0,5045.0,4230.0,4607.0,1.8931421e-05,844.0,0.848035641062843
2017-12-20,0.965432875942117,385.0,5125.0,4307.0,4692.0,1.9378521e-05,477.0,0.8513014421463471
2017-12-21,0.961627460811125,486.0,5241.0,4398.0,4794.0,1.968816e-05,617.0,0.862462099683646
2017-12-22,0.897660237096021,412.0,5329.0,4462.0,4880.0,1.9833474e-05,533.0,0.867291673459245
2017-12-23,0.891681504024923,423.0,5279.0,4394.0,4822.0,2.0199011e-05,448.0,0.870665593532607
2017-12-24,0.853207295316553,255.0,5334.0,4413.0,4871.0,2.0589065e-05,280.0,0.8731395713630871
2017-12-25,0.884651247660077,291.0,5397.0,4473.0,4930.0,2.0874244e-05,322.0,0.874826831027428
2017-12-26,0.866979758045096,292.0,5465.0,4527.0,4998.0,2.1287835e-05,322.0,0.876788055220871
2017-12-27,0.980176030878829,293.0,5517.0,4606.0,5045.0,2.17616e-05,405.0,0.8802463449372849
2017-12-28,0.878049454555586,315.0,5560.0,4599.0,5084.0,2.1903939e-05,394.0,0.883286074793746
2017-12-29,0.887298412902521,279.0,5613.0,4641.0,5130.0,2.2265596e-05,293.0,0.8852740551966569
2017-12-30,0.85067752134795,305.0,5632.0,4635.0,5140.0,2.2533089e-05,362.0,0.887447343657446
2017-12-31,0.862330232910575,183.0,5668.0,4675.0,5172.0,2.2498574e-05,232.0,0.89313947438131
