time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,Transactions
2017-06-19,0.325429645094237,0.0,0.0,0.0,0.0,0.0
2017-06-20,0.146263864920145,8117.0,8116.0,8084.0,8116.0,0.0
2017-06-21,0.197685265787528,13770.0,20393.0,20303.0,20391.0,9.0
2017-06-22,0.291284364886609,2.0,20394.0,20344.0,20393.0,1.0
2017-06-23,0.196802290769952,3.0,20396.0,20306.0,20394.0,2.0
2017-06-24,0.226472543393576,10.0,20405.0,20336.0,20403.0,9.0
2017-06-25,0.183381018672766,0.0,20405.0,20310.0,20402.0,0.0
2017-06-26,0.136952943478378,131.0,20487.0,20344.0,20483.0,130.0
2017-06-27,0.140472702588371,182.0,20601.0,20420.0,20597.0,181.0
2017-06-28,0.0967295329632207,13067.0,21410.0,19735.0,20413.0,14342.0
2017-06-29,0.058083039356973,9126.0,20659.0,18203.0,19217.0,11314.0
2017-06-30,0.0432232083573503,2404.0,20826.0,17791.0,19203.0,3155.0
2017-07-01,0.0434937871330028,1958.0,20715.0,17545.0,19005.0,2409.0
2017-07-02,0.0435959763890706,1969.0,20568.0,17271.0,18768.0,2456.0
2017-07-03,0.0532588073909985,3308.0,20622.0,17390.0,18634.0,4733.0
2017-07-04,0.052058469221882,2664.0,20260.0,16839.0,18141.0,3480.0
2017-07-05,0.0491837524438885,1424.0,20287.0,16520.0,18051.0,1825.0
2017-07-06,0.0496476607516298,1215.0,20325.0,16449.0,18020.0,1671.0
2017-07-07,0.0431751715331218,1144.0,20342.0,16282.0,17976.0,1587.0
2017-07-08,0.0436440602240667,877.0,20384.0,16255.0,17952.0,1212.0
2017-07-09,0.0403493887383051,740.0,20441.0,16188.0,17950.0,920.0
2017-07-10,0.0282589758210687,1061.0,20475.0,15562.0,17821.0,1330.0
2017-07-11,0.0256567592181719,1126.0,20503.0,15366.0,17713.0,1885.0
2017-07-12,0.0311311994559085,689.0,20557.0,15562.0,17755.0,897.0
2017-07-13,0.0274681579310899,625.0,20586.0,15390.0,17715.0,1053.0
2017-07-14,0.0262304051812295,487.0,20623.0,15328.0,17704.0,666.0
2017-07-15,0.0222201007495586,448.0,20674.0,15049.0,17662.0,548.0
2017-07-16,0.0237431348541415,464.0,20738.0,15122.0,17704.0,614.0
2017-07-17,0.0280889101470837,510.0,20787.0,15368.0,17765.0,667.0
2017-07-18,0.0297073065135103,539.0,20833.0,15445.0,17796.0,776.0
2017-07-19,0.0249631107473027,539.0,20885.0,15162.0,17741.0,758.0
2017-07-20,0.0269981590575296,500.0,20899.0,15315.0,17766.0,711.0
2017-07-21,0.0350301081398189,2790.0,21624.0,16099.0,18308.0,4321.0
2017-07-22,0.0760716490088734,6456.0,22969.0,17731.0,19232.0,9058.0
2017-07-23,0.0815922024956618,9559.0,24812.0,18791.0,20434.0,13924.0
2017-07-24,0.0758157383761635,4753.0,23562.0,17348.0,18994.0,7240.0
2017-07-25,0.0590406659367239,1385.0,23717.0,17119.0,18985.0,2131.0
2017-07-26,0.0577449487264166,1115.0,23818.0,17097.0,19016.0,1689.0
2017-07-27,0.0570126666606503,814.0,23973.0,17195.0,19133.0,1083.0
2017-07-28,0.0556512388483069,674.0,24038.0,17184.0,19155.0,992.0
2017-07-29,0.0563927133160592,626.0,24135.0,17221.0,19210.0,1169.0
2017-07-30,0.0505703821951046,444.0,24244.0,17113.0,19272.0,673.0
2017-07-31,0.0552654084876585,519.0,24286.0,17262.0,19310.0,785.0
2017-08-01,0.0559024948380267,549.0,24382.0,17326.0,19377.0,806.0
2017-08-02,0.0539888893191062,644.0,24457.0,17307.0,19403.0,945.0
2017-08-03,0.0545668114598608,726.0,24546.0,17331.0,19437.0,1163.0
2017-08-04,0.056596921945523,883.0,24648.0,17396.0,19491.0,1503.0
2017-08-05,0.0642925715009156,1213.0,24755.0,17533.0,19546.0,2162.0
2017-08-06,0.0635059582020566,960.0,24904.0,17576.0,19622.0,1563.0
2017-08-07,0.0748177579098682,1268.0,25079.0,17806.0,19727.0,2292.0
2017-08-08,0.0730407588846268,1171.0,25192.0,17775.0,19734.0,1927.0
2017-08-09,0.0656449457667175,855.0,25324.0,17652.0,19763.0,1444.0
2017-08-10,0.0654525592497048,1138.0,25497.0,17687.0,19882.0,1889.0
2017-08-11,0.0840363409630284,1657.0,25688.0,18058.0,20011.0,3191.0
2017-08-12,0.06539198863112,1203.0,25827.0,17692.0,19992.0,2520.0
2017-08-13,0.0646291618501187,1218.0,26000.0,17746.0,20093.0,2172.0
2017-08-14,0.0617705888394932,1411.0,26143.0,17682.0,20088.0,2620.0
2017-08-15,0.0603216910867571,970.0,26248.0,17657.0,20107.0,1601.0
2017-08-16,0.0592156286278553,975.0,26423.0,17681.0,20184.0,1653.0
2017-08-17,0.0608368585903312,1305.0,26489.0,17661.0,20174.0,2482.0
2017-08-18,0.0543358157577772,1017.0,26667.0,17601.0,20248.0,1530.0
2017-08-19,0.0552168856645908,826.0,26776.0,17640.0,20292.0,1358.0
2017-08-20,0.0549544632408221,649.0,26898.0,17681.0,20366.0,861.0
2017-08-21,0.0504151867755963,774.0,26990.0,17533.0,20386.0,1284.0
2017-08-22,0.0488867264656238,687.0,27052.0,17322.0,20336.0,916.0
2017-08-23,0.0510585995978815,719.0,27184.0,17590.0,20490.0,1151.0
2017-08-24,0.051719661756986,741.0,27249.0,17658.0,20516.0,1322.0
2017-08-25,0.0505102422308126,696.0,27353.0,17601.0,20571.0,1308.0
2017-08-26,0.0500694269408807,574.0,27473.0,17594.0,20632.0,881.0
2017-08-27,0.0509448494287811,610.0,27551.0,17646.0,20684.0,1002.0
2017-08-28,0.0491825439621439,671.0,27560.0,17344.0,20557.0,1140.0
