time,Price,Active_Users,Total_Users,Total_Users_USD100,Total_Users_USD_10,SER,Transactions,Velocity
2015-09-30,0.0019257836081381,2.0,2.0,1.0,1.0,2e-10,1.0,0.9999999996
2015-10-01,0.0021520681681383,5.0,6.0,2.0,2.0,4e-08,13.0,1.9994280870877372
2015-10-02,0.0020889792892848,15.0,14.0,3.0,3.0,3.2203e-08,31.0,1.999428087302653
2015-10-03,0.002056934002443,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.999428087302653
2015-10-04,0.0020334986923816,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.999428087302653
2015-10-05,0.0020366968458769,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.999428087302653
2015-10-06,0.0021166385738881,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.999428087302653
2015-10-07,0.0020456772234726,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.999428087302653
2015-10-08,0.0020317277315721,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.999428087302653
2015-10-09,0.0021336829010907,1.0,14.0,3.0,3.0,3.2203e-08,4.0,1.9994280873026609
2015-10-10,0.0021190770377379,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.9994280873026609
2015-10-11,0.002129886377481,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.9994280873026609
2015-10-12,0.0020424707555572,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.9994280873026609
2015-10-13,0.0021166603533637,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.9994280873026609
2015-10-14,0.0020459052999648,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.9994280873026609
2015-10-15,0.0019216232215573,1.0,14.0,3.0,3.0,3.2203e-08,1.0,1.9994280873026629
2015-10-16,0.00191660334209,0.0,14.0,3.0,3.0,3.2203e-08,0.0,1.9994280873026629
2015-10-17,0.0019619057308357,3.0,16.0,3.0,3.0,4.0204e-08,67.0,1.9747966809332385
2015-10-18,0.0019609826339658,4.0,17.0,3.0,3.0,4.4204e-08,7.0,1.974796681426805
2015-10-19,0.0019483533070485,0.0,17.0,3.0,3.0,4.4204e-08,0.0,1.974796681426805
2015-10-20,0.0018552006512711,0.0,17.0,3.0,3.0,4.4204e-08,0.0,1.974796681426805
2015-10-21,0.0019030855457334,0.0,17.0,3.0,3.0,4.4204e-08,0.0,1.974796681426805
2015-10-22,0.0019582003404178,0.0,17.0,3.0,3.0,4.4204e-08,0.0,1.974796681426805
2015-10-23,0.0019725784684303,2.0,18.0,3.0,3.0,4.4204e-08,1.0,1.974796681426805
2015-10-24,0.0019362643258915,0.0,18.0,3.0,3.0,4.4204e-08,0.0,1.974796681426805
2015-10-25,0.0018702266667195,2.0,19.0,3.0,3.0,4.8205e-08,1.0,1.974796681426807
2015-10-26,0.0018505897374125,0.0,19.0,3.0,3.0,4.8205e-08,0.0,1.974796681426807
2015-10-27,0.0019488088416033,0.0,19.0,3.0,3.0,4.8205e-08,0.0,1.974796681426807
2015-10-28,0.0019767304365525,0.0,19.0,3.0,3.0,4.8205e-08,0.0,1.974796681426807
2015-10-29,0.0019982131056662,0.0,19.0,3.0,3.0,4.8205e-08,0.0,1.974796681426807
2015-10-30,0.0021167211945287,2.0,20.0,3.0,3.0,4.8205e-08,1.0,1.974796681426807
